IZDELEK-ime;IZDELEK-id;KOLIÈINA;CENA;VRSTA-ime;VRSTA-id;TRGOVINA-ime;TRGOVINA-id;TRGOVINA-naslov;PODJETJE-ime;PODJETJE-id;PODJETJE-naslov;PODJETJE-tel.št.
kavni napitek, macchiato, cafemio, rauch;S903;250ml;1,11 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Atlantic trade d.o.o.;11001;Kolinska ulica 1, 1000 Ljubljana, Slovenija;01 530 55 70
kavni napitek, capuccino, cafemio, rauch;S906;250ml;1,11 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Atlantic trade d.o.o.;11001;Kolinska ulica 1, 1000 Ljubljana, Slovenija;01 530 55 70
kavni napitek cafemio intenso, rauch;S1068;250ml;1,11 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Atlantic trade d.o.o.;11001;Kolinska ulica 1, 1000 Ljubljana, Slovenija;01 530 55 70
banane chiquita;S495;1kg;1,49 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Bangros d.o.o.;11006;Vojkovo nabrežje 23, 6000 Koper, Slovenija;051 231 241
bohinjsko kislo mleko;S1059;180g;0,48 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Bohinjska sirarna d.o.o;11015;.Srednja vas 114, 4267 Srednja vas v Bohinju, Slovenija;04 574 61 00
krompir rdeèi;S66;1kg;0,65 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Burgox d.o.o.;11019;Glavarjeva cesta 43, 1218 Komenda, Slovenija;01 834 10 68
koleraba;S111;1kg;1,29 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Burgox d.o.o.;11019;Glavarjeva cesta 43, 1218 Komenda, Slovenija;01 834 10 68
rdeèa pesa;S123;1kg;0,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Burgox d.o.o.;11019;Glavarjeva cesta 43, 1218 Komenda, Slovenija;01 834 10 68
zelena gomolj;S132;1kg;1,39 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Burgox d.o.o.;11019;Glavarjeva cesta 43, 1218 Komenda, Slovenija;01 834 10 68
zelena gomolj;S345;1kg;1,39 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Burgox d.o.o.;11019;Glavarjeva cesta 43, 1218 Komenda, Slovenija;01 834 10 68
goveje kosti;S717;1kg;2,48 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
sarajevska pleskavica;S735;480g;3,59 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
sarajevski èevapèièi;S738;480g;4,49 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
steak argentinski;S759;1kg;19,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
meso za golaž kocke;S762;500g;5,29 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
krožnik za juho;S774;1kg;8,19 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
svinjski kare s kostmi;S831;500g;4,29 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
svinjski vrat s kostmi;S834;500g;3,69 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
meso za rižoto;S837;1kg;6,66 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
èevapèièi žar;S840;480g;4,10 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
leskovaèki èevapèièi;S843;480g;4,39 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
zrezki ml. goveji;S864;1kg;14,58 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
mlada goveja ledja s kostjo;S753;1kg;18,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Èadež d.o.o.;11027;Visoko 7g, 4212 Visoko, Slovenija;04 201 34 70
t-bone goveji steak;S756;1kg;27,29 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Èadež d.o.o.;11027;Visoko 7g, 4212 Visoko, Slovenija;04 201 34 70
t-bone steak porterhouse;S780;1kg;30,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Èadež d.o.o.;11027;Visoko 7g, 4212 Visoko, Slovenija;04 201 34 70
sudžukica goveja pikatna klobasa;S870;1kg;11,67 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Èadež d.o.o.;11027;Visoko 7g, 4212 Visoko, Slovenija;04 201 34 70
solata ledenka;S102;1kg;2,19 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Èebašek Anton, Kuhar Božidar, Kadivec Robert;11031;/;/
